Substance(s) active(s),P.Comm,Société,Fabricant
Spirodiclofen,SPIDER EXTRA SC,SANABEL AGRO,SHARDA CROPCHEM
Spirodiclofen,Bolido 240 SC,PROMOCHIMIE,BAYER CROPSCIENCE/GOWAN
Spirodiclofen,Envidor,STEC,BAYER CROPSCIENCE/gowan
Spirodiclofen,ASKARI 240 SC,SEPCM,AAKO
Spirodiclofen,ACAROS SC,STEC,Shandong Kangqiao NANJING Agrochemical
Spirodiclofen,SPIROFEN,Ste ELKHADRA,EASTCHEM CO.Ltd
Spiromesifen,Oberon 240 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Spirotetramat,Movento 150 OD,ATLAS AGRICOLE,BAYER CROPSCIENCE
Spirotetramat,Natramat 240SC,AGRIPROTEC,Jiangsu United Agrochemical
Spirotetramat,MAGNUS SC,STEC,AAKO
Non spécifié,MYCOTAL WG,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM
Sulfoxaflor,Closer 240 SC,SEPCM,DOW AGROSCIENCE/corteva
Sulfoxaflor,TRANSFORM SC,EL BARAKA,DOW AGROSCIENCE/corteva
Adepidyn+ Difenoconazole,Miravis duo Sc,BIOPROTECTION,SYNGENTA
Amisulbrom,LEIMAY 20 SC,EL MOUSSEM AGRICOLE,NISSAN CHEMICAL EUROPE SAS/ARYSTA LIFESCIENCES/UPL
Aureobasidiumpullulans DSM 14940 et aureobasidiumpullulans DSM 14941,BOTECTOR WG,STIMA,BIOFERM/SAN AGROW/autriche
Azoxystrobine,SORBISTAR,SOCOOPEC,ZHEJIANG E-TONG CHEMICAL
Azoxystrobine,ASTRO EC,TASMID,ZHEJIANG E-TONG CHEMICAL
Azoxystrobine,LEGADO 250 SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Azoxystrobine +Difeconazole,PRIORI GOLD 250 SC,SOLAGRI,SYNGENTA Crop Protection
Azoxystrobine +difenoconazole,Black panther SC,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
Boscalid +Krésoxym-Methyl,Collis 300SC,STIMA,BASF
Boscalid +Pyraclostrobin,Pristine WG,AGRIPROTEC,BASF
Captane,Captan 83 WP,AGRIPROTEC,ARYSTA LIFESCIENCE/UPL
CINNAMOMUM ZEYLANICUM :Extrait de Cannelle (Cinnamaldehyde),Cynam EC,COTUGRAIN,LIDA
Chinozole,Beltanol-L,AGRIPROTEC,PROBELTE
Chinozole,V-NOL,AGROSYSTEMES,PROBELTE
Cuivre +cymoxanil,Cuprofix C WG,EL MOUSSEM,UPL
Cuivre+ Métalaxyl,Armetil cuivre,SOCOOPEC,IQV DEL VALLES
Cuivre +Metalaxyl,Mevaxil Cuivre WP,NEGANOR,IQV DEL VALLES
Cyazofamid,RANMAN TOP SC,AGRIPROTEC,ISK Biosciences Europe N.V
Cyflufenamid,CONFIRM 5 EW,EL MOUSSEM,NIPPON SODA/ Nisso Chemical Europe GmbH
Cymoxanil +Famoxadone,Equation Pro,SEPCM,DU PONT (Taiwan) AGRISCIENCE
Cymoxanil + Métirame de Zinc,BATO,AGRIMATCO,BASF
Cymoxanil + Métirame de Zinc,Aviso DF,STIMA,BASF
Cyprodinil,arnatin WG,SOLAGRI,SYNGENTA
Diethofencarb,FRUGICO SC,AGROSYTEME,GLOBACHEM
Difenoconazole,Difcor,AGROSYSTEMES,GLOBACHEM
Difenoconazole,Difender 30 FS,AGROSYSTEMES,GLOBACHEM
Difenoconazole,Spectro 30 FS,BIOPROTECTION,SYNGENTA
Difenoconazole+Cyflufenamid,DYNALI DC,SOLAGRI,SYNGENTA
Difenoconazole + Fludioxonil,DIFEND EXTRA FS,AGROSYSTEMES,Globachem
Difenoconazole + Fludioxonil,Celest Extra 50 FS,BIOPROTECTION,SYNGENTA
Fludioxonil +Cyprodinil,Chorus Double,BIOPROTECTION,SYNGENTA
Fluopicolide + PropamocarbHydrochloride,PICOCARB SC,UNIAGRO,SHANDONG WEIFANG
Fluopyram + Tebuconazole,Moon Experience SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Fluopyram + Trifloxystrobine,Non spécifié,Non spécifié,Non spécifié
Flutriafol + Tébuconazole,Pointer Duo,AGROSYSTEMES,CHEMINOVA/FMC
Fosethyl-Al +Cymoxanil +Folpet,Fosbel extra,AGRIPROTEC,PROBELTE
Fosethyl-Al +Cymoxanil +Folpet,Magma Triple,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Huile essentielle de thym (thymol),NOPATH EW,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM
Hydroxyde de cuivre,Copper Progress,AGROSYSTEMES,SPEISS URANIA/COSACO GmbH
Hydroxyde de cuivre,Patrol 50 WP,AMINCO,SPEISS URANIA/COSACO GmbH
Hydroxyde de cuivre,BLUE SHIELD 25 WG,SOLAGRI,Albaugh.LLC
Hydroxyde de Cuivre (400 g/l de cuivre métal),Heliocuivre,BIOPROTECTION,Action Pin/AAKO
Hydroxyde de cuivre,Hidrocure WG,FERTITECH,ALINTRA
Hymexazole,Tachigaren,AGRIPROTEC,"Mitsui Chemicals Agro,Inc/summit agro"
Krésoxim-methyl + difenoconazole,DECIBEL MAX WG,AGROSYSTEMES,ASCENZA GRO S.APORTUGAL
Mefentrifluconazole +Fluxapyroxade,VERYDOR,COTUGRAIN,BASF
Myclobutanil,Systhane 240 EC,SEPCM,DOW
Penconazole,BuckleR,AMINCO,GLOBACHEM
Pencycuron,Monceren,PROMOCHIMIE,BAYER CROPSCIENCE/GowanCrop Protection
Penthiopyrad,KABUTO,EL MOUSSEM,"Mitsui Chemicals crop&lifesolutions,Inc(fab) / Summit Agro International Ltd(fournisseur)"
Propamocarbe,PROPLANT,PROTAGRI,ARYSTA Life Science Benelux / Belgique
Promocarb,omix 607 SL,NEGANOR,Agria
Pyrimethanil,LAITANE SC,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE"
Prochloraze +Triticonazole,REAL SUPER,AGRIPROTEC,BASF
