SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
OXYCHLORURE DE CUIVRE +CYMOXANIL,CURAME 25 WG,ATLAS AGRICOLE,MANICA SPA,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,ATLAS,MANICA
AZOXYSTROBIN + FLUTRIAFOL,CURATEX EXTRA SC,FERTITECH,SHARDA CROPCHEM,AZOXYSTROBIN,AZOXYSTROBIN,FLUTRIAFOL,FLUTRIAFOL,N/A,N/A,N/A,N/A,FERTITECH,SHARDA CROPCHEM
AZOXYSTROBIN + FLUTRIAFOL,CURAX EXTRA SC,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED,AZOXYSTROBIN,AZOXYSTROBIN,FLUTRIAFOL,FLUTRIAFOL,N/A,N/A,N/A,N/A,AGRIMED DISTRIBUTION,SHARDA CROPCHEM
CYMOXANIL + MANCOZÈBE,CURVAX M,SEPCM,CMPA,CYMOXANIL,CYMOXANIL,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,SEPCM,CMPA
DIFENOCONAZOLE,CURYGEN EC,EL KHADRA,JSC AUGUST INC,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,JSC AUGUST
CYMOXANIL + MANCOZÈBE,CURZATE M,STEC,DU PONT (TAIWAN),CYMOXANIL,CYMOXANIL,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,STEC,DU PONT TAIWAN
METALAXYL + MANCOZÉBE,CYCLO WP,EL KHADRA,AFRASA,METALAXYL,METALAXYL,MANCOZÉBE,MANCOZÉBE,N/A,N/A,N/A,N/A,EL KHADRA,AFRASA
HYDROXYDE DE CUIVRE +MÉTALAXYL,CYCLO-R-LIQUIDE,EL KHADRA,INDUSTRIAS AFRASA,HYDROXYDE DE CUIVRE,HYDROXYDE DE CUIVRE,MÉTALAXYL,MÉTALAXYL,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS AFRASA
CYPROCONAZOLE + CHLOROTHALONIL,CYCLONE,SANABEL AGRO,SHARDA CROPCHEM,CYPROCONAZOLE,CYPROCONAZOLE,CHLOROTHALONIL,CHLOROTHALONIL,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
CYPERMÉTHRINE,CYMBUSH 10,AGRIPROTEC,PROBELTE,CYPERMÉTHRINE,CYPERMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROBELTE
FAMOXADONE + CYMOXANIL,CYMOFLEX WG,PROTAGRI,NANJING AGROCHEMICAL,FAMOXADONE,FAMOXADONE,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,PROTAGRI,NANJING
CINNAMOMUM ZEYLANICUM :EXTRAIT DE CANNELLE (CINNAMALDEHYDE),CYNAM EC,COTUGRAIN,LIDA,CINNAMOMUM ZEYLANICUM :EXTRAIT DE CANNELLE (CINNAMALDEHYDE),CINNAMOMUM ZEYLANICUM :EXTRAIT DE CANNELLE (CINNAMALDEHYDE),N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,LIDA
CYPERMÉTHRINE,CYPERCAL 250 EC,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE,CYPERMÉTHRINE,CYPERMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL ARYSTA LIFESCIENCE
CYPERMETHRINE,CYPERNOVA,AGRINOVA,SHARDA CROPCHEM LIMITED INDE,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,AGRINOVA,SHARDA CROPCHEM INDE
CYPERMETHRINE,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE /UPL,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,ARYSTA LIFESCIENCE UPL
CYPERMETHRINE,CYPRINE,TASMID,CROPSAVE PESTICIDES INDIAN PVT.LTD,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,CROPSAVE PESTICIDES INDIAN PVT
CYPERMETHRINE,CYRUX,PROTAGRI,UPL,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UPL
CYPERMETHRINE,CYTHRINE 10 EC,AGRIPROTEC,ARYSTA LIFESCIENCE/IP L,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ARYSTA LIFESCIENCE IP L
DELTAMETHRINE,D66,ETS MEZGHANNI,INDUSTRIAL QUIMICA KEY,DELTAMETHRINE,DELTAMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANNI,INDUSTRIAL QUIMICA KEY
METRIBUZINE,DANCOR 70,PROTAGRI,UPL,METRIBUZINE,METRIBUZINE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UPL
CYFLUMETOFEN,DANIRANGER 10DC,AGRIMATCO,OAT AGRIOCO.LTD,CYFLUMETOFEN,CYFLUMETOFEN,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,OAT AGRIOCO
CAPSAICINE +ALLY ISOTHIOCYANATE,DAZITOL,EL KHADRA,CHAMPION MILLENIUM CHEMICALS,CAPSAICINE,CAPSAICINE,ALLY ISOTHIOCYANATE,ALLY ISOTHIOCYANATE,N/A,N/A,N/A,N/A,EL KHADRA,CHAMPION MILLENIUM
KRÉSOXIM-METHYL + DIFENOCONAZOLE,DECIBEL MAX WG,AGROSYSTEMES,ASCENZA GRO S.APORTUGAL,KRÉSOXIM-METHYL,KRÉSOXIM-METHYL,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,AGROSYSTEMES,ASCENZA GRO S APORTUGAL
DELTAMÉTHRINE,DECIS EC 25,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE,DELTAMÉTHRINE,DELTAMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,BAYER CROPSCIENCE
PHOSPHURE DE MAGNÉSIUM +PHOSPHURE D'HY.,DEGUECH PLATE,STIMA,DETIA DEGUECH,PHOSPHURE DE MAGNÉSIUM,PHOSPHURE DE MAGNÉSIUM,PHOSPHURE D'HY.,PHOSPHURE D'HY.,N/A,N/A,N/A,N/A,STIMA,DETIA DEGUECH
DITHIANON,DELAN 500 SC,BIOPROTECTION,BASF,DITHIANON,DITHIANON,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,BASF
PROTHIOCONAZOLE + TRIFLOXYSTROBINE,DELARO DUO SC,ATLAS AGRICOLE,BAYER CROPSCIENCE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
BACILLUS THURINGIENSIS,DELFIN WG,AGROSYSTEMES,CERTIS,BACILLUS THURINGIENSIS,BACILLUS THURINGIENSIS,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,CERTIS
CHLORPYRI PHOS ETHYL,DELFOS 5G,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,CHLORPYRIPHOS ETHYL,CHLORPYRIPHOS ETHYL,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
DELTAMETHRINE,DELMITOX,SANABEL AGRO,SHARDA CROPCHEM,DELTAMETHRINE,DELTAMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
DELTAMÉTHRINE,DELTA DECIS EC 25,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE,DELTAMÉTHRINE,DELTAMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,BAYER CROPSCIENCE
DELTAMÉTHRINE,DELTACAL,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE,DELTAMÉTHRINE,DELTAMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL ARYSTA LIFESCIENCE
DIMETOMORPHE +FOLPEL,DENIM,RAYEN PHYTAGRI,SHARDA CROPCHEM,DIMETOMORPHE,DIMETOMORPHE,FOLPEL,FOLPEL,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,SHARDA CROPCHEM
FLOROSULAME + FLUMETSULAM,DERBY,PROMOCHIMIE,DOW AGROSCIENCES/ CORTEVA,FLOROSULAME,FLOROSULAME,FLUMETSULAM,FLUMETSULAM,N/A,N/A,N/A,N/A,PROMOCHIMIE,DOW AGROSCIENCES CORTEVA
"2,4 D –ESTER BUTYLGLYCOL",DESORMONE LOURD,SEPCM,NUFARM,"2,4 D –ESTER BUTYLGLYCOL","2,4 D –ESTER BUTYLGLYCOL",N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,NUFARM
PHOSPHURE D’AL. +PHOSPHURE D’HY.,DETIA GAS,STIMA,DETIA DEGUECH,PHOSPHURE D’AL.,PHOSPHURE D’AL.,PHOSPHURE D’HY.,PHOSPHURE D’HY.,N/A,N/A,N/A,N/A,STIMA,DETIA DEGUECH
DELTAMETHRINE,DEXTRA 25 EC,RAYEN PHYTAGRI,TAGROS CHEMICALS,DELTAMETHRINE,DELTAMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,TAGROS
HEXYTHIAZOX,DIABLO,EL KHADHRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL,HEXYTHIAZOX,HEXYTHIAZOX,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADHRA,INDUSTRIAS AFRAZA / ALBAUGH EUROPE
HEXYTHIAZOX,DIABLO MAX SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL,HEXYTHIAZOX,HEXYTHIAZOX,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS AFRAZA ALBAU GH EUROPE
"DICAMBA +2,4 – D",DIALEN SUPER,BIOPROTECTION,SYNGENTA,DICAMBA,DICAMBA,"2,4 – D","2,4 – D",N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
"2,4-D SEL DE DIMETHYLAMINE",DIAMEX SL,COTUGRAIN,UPL,"2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,UPL
TEFLUTHRINE,DIASTAR MAXI GR,RAYEN PHYTAGRI,DIACHEM,TEFLUTHRINE,TEFLUTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,DIACHEM
"2,4-D SEL D’AMINE",DICOPUR 720 SL,AGRIPROTEC,NUFARM,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
DIFENOCONAZOLE,DIFCOR,AGROSYSTEMES,GLOBACHEM,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
DIFENOCONAZOLE + FLUDIOXONIL,DIFEND EXTRA FS,AGROSYSTEMES,GLOBACHEM,DIFENOCONAZOLE,DIFENOCONAZOLE,FLUDIOXONIL,FLUDIOXONIL,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
DIFENOCONAZOLE,DIFENDER 30 FS,AGROSYSTEMES,GLOBACHEM,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
DIMÉTHOATE,DIMETHON,ETS MEZGHANI,INDUST. QUIMICA KEY,DIMÉTHOATE,DIMÉTHOATE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUST QUIMICA KEY
GLYPHOSATE,DISS,PROTAGRI,UNITED PHOSPHORUS,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UNITED PHOSPHORUS
ABAMECTINE,DIVA 1.8 EW,EL MOUSSEM AGRICOLE,CHEMINOVA,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,CHEMINOVA
DIFENOCONAZOLE +MÉTALAXYL-M,DIVIDEND EXTREME 115 FS,SOLAGRI,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,MÉTALAXYL-M,MÉTALAXYL-M,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
DIFENOCONAZOLE,DIVISOLE,TASMID,ASTRACHEM,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,ASTRACHEM
CYANAMIDE D’HYDROGÈNE,DORMEX,BIOPROTECTION,DEGUSSA AG/ ARYSTA LIFESCIENCE/ALZ-CHEM,CYANAMIDE D’HYDROGÈNE,CYANAMIDE D’HYDROGÈNE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,DEGUSSA AG ARYSTA LIFESCIENCE ALZ CHEM
AZOXYSTROBINE +CYPROCONAZOLE,DOUBLE FORCE,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE,AZOXYSTROBINE,AZOXYSTROBINE,CYPROCONAZOLE,CYPROCONAZOLE,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM INDE
GLYPHOSATE,DRAGON,FERTITECH,SHARDA CROPCHEM LT,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,SHARDA CROPCHEM LT
IPRODIONE,DRIZA WG,EL KHADRA,INDSUTRIAS,IPRODIONE,IPRODIONE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDSUTRIAS
S-METOLACHLOR,DUAL GOLD 960 EC,AGRIPROTEC,SYNGENTA,S-METOLACHLOR,S-METOLACHLOR,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
EPOXICONAZOLE + THIOPHANATE-METHYL,DUETT ULTRA EC,AGRIPROTEC,BASF,EPOXICONAZOLE,EPOXICONAZOLE,THIOPHANATE-METHYL,THIOPHANATE-METHYL,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
CHLORANTRANILIPROLE + THIAMETHOXAM,DURIVO,SOLAGRI,SYNGENTA,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,THIAMETHOXAM,THIAMETHOXAM,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
DIFENOCONAZOLE + CYFLUFENAMID,DYNALI DC,SOLAGRI,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,CYFLUFENAMID,CYFLUFENAMID,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
DODINE,EFLUZIN 400 SC,SEPCM,ARYSTA LIFE SCIENCE BENELUX / BELGIQUE/ARYSTA,DODINE,DODINE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,ARYSTA LIFE BENELUX BELGIQUE ARYSTA
BENZOVINDIFLUPYR +AZOXYSTROBIN +PROPICONAZOLE,ELATUSTM ARC SE,SOLAGRI,SYNGENTA AGRO AG,BENZOVINDIFLUPYR,BENZOVINDIFLUPYR,AZOXYSTROBIN,AZOXYSTROBIN,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,SOLAGRI,SYNGENTA AGRO AG
SPIROPIDION,ELESTAL300 SC,BIOPROTECTION,SYNGENTA,SPIROPIDION,SPIROPIDION,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
EMAMECTIN BENZOATE,EMAMECTIN SG,FERTIPLANT,KRISHI RASAYAM,EMAMECTIN BENZOATE,EMAMECTIN BENZOATE,N/A,N/A,N/A,N/A,N/A,N/A,FERTIPLANT,KRISHI RASAYAM
SPIRODICLOFEN,ENVIDOR,STEC,BAYER CROPSCIENCE/GOWAN,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,STEC,BAYER CROPSCIENCE GOWAN
EPOXICONAZOLE + FENPROPIMORPH,EPIC TOP SE,COTUGRAIN,BASF,EPOXICONAZOLE,EPOXICONAZOLE,FENPROPIMORPH,FENPROPIMORPH,N/A,N/A,N/A,N/A,COTUGRAIN,BASF
EPOXICONAZOLE,EPONEO,AMINCO,CHEMINOVA,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,CHEMINOVA
FAMOXADONE + CYMOXANIL,EQUALIZER WG,RAYEN PHYTAGRI,"SHENGNONG PESTICIDE, CO. LTD/HANGZHOUTOPAGRO BIOSCIENCE",FAMOXADONE,FAMOXADONE,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,SHENGNONG PESTICIDE HANGZHOUTOPAGRO BIOSCIENCE
CYMOXANIL + FAMOXADONE,EQUATION PRO,SEPCM,DU PONT (TAIWAN) AGRISCIENCE,CYMOXANIL,CYMOXANIL,FAMOXADONE,FAMOXADONE,N/A,N/A,N/A,N/A,SEPCM,DU PONT TAIWAN AGRISCIENCE
METHALDEHYDE,ESCARGOCHE,SOCOOPEC,SHARDA,METHALDEHYDE,METHALDEHYDE,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,SHARDA
ACETAMIPRIDE,ESCORT 20 SL,BIOPROTECTION,UPL/(NIPPON,ACETAMIPRIDE,ACETAMIPRIDE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL NIPPON
ALKYLPHENOLEXY-ETHYLÈNE,ETALDYNE 95,SEPCM,CMPA/ESPAGNE,ALKYLPHENOLEXY-ETHYLÈNE,ALKYLPHENOLEXY-ETHYLÈNE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,CMPA ESPAGNE
FLUCARBAZONE-SODIUM,EVEREST 70 WG,AGRIPROTEC,ARYSTA LIFESCIENCE,FLUCARBAZONE-SODIUM,FLUCARBAZONE-SODIUM,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ARYSTA LIFESCIENCE
THIOCYCLAME HYDROGÈNE OXALATE,EVISECT,BIOPROTECTION,NIPPON KAYAKU/,THIOCYCLAME HYDROGÈNE OXALATE,THIOCYCLAME HYDROGÈNE OXALATE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,NIPPON KAYAKU
FLUOXASTROBINE,EVITO 480 SC,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE/UPL,FLUOXASTROBINE,FLUOXASTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,ARYSTA LIFESCIENCE UPL
FLUOXASTROBINE + PROPAMOCARB HYDROCHLORIDE,EVITO P,EL MOUSSEM,ARYSTA LIFESCIENCE/ UPL,FLUOXASTROBINE,FLUOXASTROBINE,PROPAMOCARB HYDROCHLORIDE,PROPAMOCARB HYDROCHLORIDE,N/A,N/A,N/A,N/A,EL MOUSSEM,ARYSTA LIFESCIENCE UPL
FLUOXASTROBINE + TEBUCONAZOLE,EVITO T,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE/UPL,FLUOXASTROBINE,FLUOXASTROBINE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,EL MOUSSEM,ARYSTA LIFESCIENCE UPL
CHLORPYRIPHOS-MÉTHYL,EXAQ EC,ATLAS AGRICOLE,DOW AGROSCIENCES,CHLORPYRIPHOS-MÉTHYL,CHLORPYRIPHOS-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,DOW AGROSCIENCES
HEXYTHIAZOX,EXITOX,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,HEXYTHIAZOX,HEXYTHIAZOX,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
LAMBDA-CYHALOTHRINE,EXPERT,SANABEL AGRO,SHARDA WORLDWIDE,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA WORLDWIDE
ACIDE BETA INDOLBUTIRIQUE,EXUBERONE,SEPCM,N/A,ACIDE BETA INDOLBUTIRIQUE,ACIDE BETA INDOLBUTIRIQUE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,N/A
TRIADIMENOL + SPIROXAMINE + TEBUCONAZOLE,FALCON 460 SC,AGRONOMIC LAND,BAYER CROPSCIENCE,TRIADIMENOL,TRIADIMENOL,SPIROXAMINE,SPIROXAMINE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,AGRONOMIC LAND,BAYER CROPSCIENCE
FLUBENDIAMIDE,FAME 480 SC,ATLAS AGRICOLE,BAYER,FLUBENDIAMIDE,FLUBENDIAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER
CHLOROTHALONIL,FAUDEL,SEPCM,AAKO,CHLOROTHALONIL,CHLOROTHALONIL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
PYRACLOSTROBINE +EPOXICONAZOLE,FAVIA MAX,COTUGRAIN IMPEX,BASF,PYRACLOSTROBINE,PYRACLOSTROBINE,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,BASF
ACIDE GIBBÉRELLIQUE +PHENOTHIOL,FENGIB EC,INNOVA,SIPCAM INAGRA S.A,ACIDE GIBBÉRELLIQUE,ACIDE GIBBÉRELLIQUE,PHENOTHIOL,PHENOTHIOL,N/A,N/A,N/A,N/A,INNOVA,SIPCAM INAGRA S A
DIFENOCONAZOLE,FESTIVAL 250 EC,SANABEL AGRO,SHARDA WORLD WIDE,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA WORLD WIDE
CYMOXANIL + BOUILLIE BORDELAISE,FESTIVAL WP,RAYEN PHYTAGRI,"LAINCO, S, A/ESPAGNE",CYMOXANIL,CYMOXANIL,BOUILLIE BORDELAISE,BOUILLIE BORDELAISE,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,LAINCO S A ESPAGNE
BENTAZONE,FIGHTER,COTUGRAIN,BASF,BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,BASF
FOSÉTHYL-AL,FILAL,EL KHADRA,AFRASA,FOSÉTHYL-AL,FOSÉTHYL-AL,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,AFRASA
CAPTANE,FILDER,EL MOUSSEM,ARYSTA LIFESCIENCE/UPL,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,ARYSTA LIFESCIENCE UPL
PROPAMOCARBE + FOSETHYL- AL,FILEX ENERGY,ATLAS AGRICOLE,BAYER CROPSCIENCE,PROPAMOCARBE,PROPAMOCARBE,FOSETHYL- AL,FOSETHYL- AL,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
ACIDE GIBBERELLIQUE,FITOGIB,BIOPROTECTION,NUFARM,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM
TREBUNIRON-METHYL + FLORASULAME,FLAME DUO SG,SOLAGRI,ALBAUGH,TREBUNIRON-METHYL,TREBUNIRON-METHYL,FLORASULAME,FLORASULAME,N/A,N/A,N/A,N/A,SOLAGRI,ALBAUGH
FENPYROXIMATE,FLASH EVO,EL KHADRA,SIPCAM INAGRA (ANCIENTFABRICANT: NIHON NOHYAKU CO. LTD),FENPYROXIMATE,FENPYROXIMATE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SIPCAM INAGRA ANCIENTFABRICANT NIHON NOHYAKU
FENPYROXIMATE,FLASH UM,EL KHADRA,SIPCAM INAGRA (ANCIENT FABRICANT: NIHON NOHYAKU CO. LTD),FENPYROXIMATE,FENPYROXIMATE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SIPCAM INAGRA ANCIENT FABRICANT NIHON NOHYAKU
TRIFLOXYSTROBIN,FLINT,PROMOCHIMIE,BAYER CROPSCIENCE,TRIFLOXYSTROBIN,TRIFLOXYSTROBIN,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
FLONICAMID,FLOPUS WG,NEGANOR FFT,NANJING(D)SHA ANXI HENGTIAN BIOLOGICAL AGRICULTURE(FAB),FLONICAMID,FLONICAMID,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR FFT,NANJING D SHA ANXI HENGTIAN BIOLOGICAL FAB
DIMETOMORPHE +FOLPEL,FLOPY DUO,AGRINOVA,SHARDA CROPCHEM,DIMETOMORPHE,DIMETOMORPHE,FOLPEL,FOLPEL,N/A,N/A,N/A,N/A,AGRINOVA,SHARDA CROPCHEM
PYROXSULAM +FLORASULAM +CLOQUINTOCETMEXYL,FLORAMIX,SEPCM,DOW AGROSCIENCES,PYROXSULAM,PYROXSULAM,FLORASULAM,FLORASULAM,CLOQUINTOCETMEXYL,CLOQUINTOCETMEXYL,N/A,N/A,SEPCM,DOW AGROSCIENCES
MYCLOBUTANIL,FLUANCE 125 EC,EL MOUSSEM AGRICOLE,INDOFIL INDUSTRIES LIMITED/ARISTEAS AGRO,MYCLOBUTANIL,MYCLOBUTANIL,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,INDOFIL INDUSTRIES ARISTEAS AGRO
TRIFLURALINE,FLURAL,ETS MEZGHANI,INDUSTRIAL Q.,TRIFLURALINE,TRIFLURALINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL Q
FLUROXYPYR (ESTER1-METHYLHEPTYL),FLUROSTAR 200,AGROSYSTEMES,GLOBACHEM,FLUROXYPYR (ESTER1-METHYLHEPTYL),FLUROXYPYR (ESTER1-METHYLHEPTYL),N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
FLUTRIAFOL,FLUTRI 125 SC,RAYEN PHYTAGRI,SHARDA,FLUTRIAFOL,FLUTRIAFOL,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,SHARDA
PROTEINES HYDROLYSÉES,FLYRAL,AGRIPROTEC,BIOIBIRICA,PROTEINES HYDROLYSÉES,PROTEINES HYDROLYSÉES,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BIOIBIRICA
FOLPEL +BENALAXYL +CYMOXANIL,FOBECI,INNOVA,SIPCAM INAGRA,FOLPEL,FOLPEL,BENALAXYL,BENALAXYL,CYMOXANIL,CYMOXANIL,N/A,N/A,INNOVA,SIPCAM INAGRA
CYCLOXIDIME,FOCUS ULTRA,STIMA,BASF,CYCLOXIDIME,CYCLOXIDIME,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
FLUAZINAM,FOLY,SEPCM,AAKO,FLUAZINAM,FLUAZINAM,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
